org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
american civil rights union,unconvinced of agw,usa,north america,curtin winsor,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,walter e. williams,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,charles j. cooper,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,kenneth blackwell,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,linda chavez,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,kenneth y. tomlinson,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,robert h. bork,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,kenneth w. starr,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,j. clayburn,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,james q. wilson,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,john armor,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,ken blackwell,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,ken klukowski,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,robert knight,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,jan larue,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,david a. keene,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,dennis e. whitfield,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,thomas s. winter,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,donald j. devine,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,jameson campaigne,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,tish leonard,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,diana carr,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,lisa de pasquale,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,larry hart,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,lynn bradshaw,members,person,,,,,,,
american conservative union,unconvinced of agw,usa,north america,heather madden,members,person,,,,,,,
